Date,Close/Last,Volume,Open,High,Low
01/27/2025,$158.28,42201590,$168.90,$172.52,$152.66
01/24/2025,$183.60,12147180,$188.64,$189.10,$181.87
01/23/2025,$186.47,17314650,$181.64,$186.57,$181.50
01/22/2025,$184.22,48028520,$191.51,$191.99,$180.57
01/21/2025,$172.57,30232050,$163.87,$173.37,$162.75
01/17/2025,$161.03,11618280,$161.77,$163.16,$160.54
01/16/2025,$159.54,9210555,$160.15,$161.50,$158.41
01/15/2025,$158.31,10701230,$158.665,$159.1495,$157.26
01/14/2025,$156.31,7410242,$156.42,$157.25,$154.35
01/13/2025,$153.92,8828492,$153.74,$154.15,$152.42
01/10/2025,$154.50,13593880,$159.20,$159.20,$153.92
01/08/2025,$163.14,7596214,$162.18,$163.98,$161.43
01/07/2025,$162.03,7712222,$165.58,$166.16,$161.32
01/06/2025,$165.69,6845373,$167.31,$168.05,$165.19
01/03/2025,$166.32,5878052,$166.70,$167.20,$165.27
01/02/2025,$166.03,5365667,$168.52,$168.69,$164.90
12/31/2024,$166.64,4307524,$167.20,$167.30,$165.84
12/30/2024,$166.91,5254833,$166.51,$167.91,$164.55
